2015	4	15	6	576
2016	1	3	2	662
2017	3	10	2	633
2014	3	9	6	497
2012	11	48	5	576
2013	10	42	3	548
2013	5	18	6	580
2014	3	12	5	589
2015	2	8	3	626
2014	7	30	7	476
2015	4	18	1	558
2013	7	29	5	697
2014	3	10	3	491
2012	12	52	4	525
2012	8	33	7	467
2013	7	30	4	506
2012	7	26	7	538
2017	1	1	7	392
2012	9	37	6	557
2016	3	10	7	431
2013	7	29	3	609
2017	1	1	5	589
2017	4	17	2	700
2014	8	33	3	572
2012	7	30	3	612
2016	3	13	2	667
2015	10	41	4	666
2015	2	6	1	680
2013	10	40	3	647
2016	12	50	4	748
2014	11	48	1	722
2016	11	46	5	773
2014	8	34	4	567
2016	6	25	7	578
2016	8	31	5	699
2013	8	34	7	459
2017	4	16	1	479
2012	10	43	7	403
2013	2	6	1	553
2014	7	30	1	557
2013	4	14	7	451
2016	9	37	2	778
2013	11	45	1	658
2014	11	48	3	742
2014	12	52	4	303
2013	4	18	1	597
2015	6	23	4	551
2014	6	23	3	582
2015	2	8	5	621
2016	4	15	3	688
2016	10	39	7	486
2016	2	5	7	423
2016	8	34	4	659
2014	9	36	5	647
2016	2	7	3	526
2014	3	11	4	545
2014	6	23	5	743
2012	10	40	4	554
2013	7	27	7	475
2014	3	13	2	474
2016	2	7	5	532
2016	7	28	7	569
2015	10	44	1	698
2017	4	15	2	515
2013	2	7	6	449
2016	10	41	1	538
2012	12	50	2	578
2014	7	28	1	613
2014	7	27	6	505
2014	9	37	6	558
2013	5	21	7	455
2013	11	48	6	479
2016	1	1	2	640
2013	11	46	2	647
2013	7	29	7	447
2014	8	31	5	667
2015	11	47	1	618
2014	3	13	6	569
2012	7	27	4	591
2013	10	41	2	574
2015	8	32	5	726
2015	12	50	7	548
2013	6	25	6	599
2015	1	1	5	442
2015	8	34	3	594
2014	7	30	3	591
2013	3	11	1	521
2015	1	3	3	506
2013	5	21	5	668
2016	12	52	4	540
2013	11	45	7	474
2013	9	35	7	480
2013	6	24	7	477
2015	3	12	2	528
2016	10	41	5	767
2014	3	13	4	538
2016	12	52	6	463
2015	9	37	7	478
2012	8	32	6	507
2016	2	8	6	388
2015	11	47	3	628
2016	2	5	5	607
